,code,Station.x,Year.x,Month.x,temp_Deep,temp_Surface,Oxygen_Deep,Oxygen_Surface,Salinity_Deep,Salinity_Surface,stationmonth,Cluster
69,P402-2017-SEP,P402,2017,SEP,9.722166667,17.4493,2.3155,9.697,29.47751667,24.5382,P402-SEP,2
6,P12-2018-APR,P12,2018,APR,10.4231,10.3632,3.39725,7.433375,30.32233333,28.229,P12-APR,2
32,P28-2018-APR,P28,2018,APR,8.3487,8.70205,3.389557,3.693385,29.594,28.9885,P28-APR,2
45,P38-2018-APR,P38,2018,APR,8.4412,9.44335,8.160151667,12.640385,28.893,28.4075,P38-APR,2
56,P4-2018-APR,P4,2018,APR,8.7797,9.5222,6.3268925,9.293715,29.3575,24.6635,P4-APR,2
70,P402-2018-APR,P402,2018,APR,10.201,11.0493,3.666881667,9.213275,29.972,25.939,P402-APR,2
84,P8-2018-APR,P8,2018,APR,8.444175,9.2318,7.881255,9.08651,30.548,29.001,P8-APR,2
7,P12-2018-JUL,P12,2018,JUL,9.790666667,20.4465,2.42608183,9.804686628,29.92766667,25.666,P12-JUL,2
20,P22-2018-JUL,P22,2018,JUL,8.671,11.7275,3.770512937,7.267526776,32.712,30.0745,P22-JUL,2
33,P28-2018-JUL,P28,2018,JUL,11.6288,14.2425,6.125138686,8.686479868,30.1118,29.3835,P28-JUL,2
46,P38-2018-JUL,P38,2018,JUL,12.55733333,16.458,6.444845435,12.21084137,29.34966667,29.0445,P38-JUL,2
57,P4-2018-JUL,P4,2018,JUL,9.831,15.873,4.289622835,12.25486994,29.449,23.666,P4-JUL,2
71,P402-2018-JUL,P402,2018,JUL,10.11266667,21.811,2.171395304,9.621290199,29.5565,25.01,P402-JUL,2
85,P8-2018-JUL,P8,2018,JUL,11.476,14.3795,6.067227528,9.137919964,30.596,29.739,P8-JUL,2
8,P12-2018-SEP,P12,2018,SEP,10.73666667,12.92045,3.058972305,5.715087053,30.2347,28.05365,P12-SEP,2
21,P22-2018-SEP,P22,2018,SEP,8.931,11.0453,4.420612806,5.366273785,32.9253,31.41485,P22-SEP,2
34,P28-2018-SEP,P28,2018,SEP,12.3461,13.53355,5.792709147,6.907150783,30.64596,30.08815,P28-SEP,2
72,P402-2018-SEP,P402,2018,SEP,9.887833333,13.2501,1.776768505,10.67619993,29.86285,28.3862,P402-SEP,2
35,P28-2019-APR,P28,2019,APR,8.92248,9.75455,8.418465012,9.900861558,29.9779,28.19715,P28-APR,2
58,P4-2019-APR,P4,2019,APR,8.6405,10.18635,6.545532298,10.84371071,29.7395,17.78545,P4-APR,2
86,P8-2019-APR,P8,2019,APR,9.354425,10.29535,8.305999304,9.497796526,30.28425,29.4547,P8-APR,2
9,P12-2019-JUL,P12,2019,JUL,9.9159,17.1444,3.015486144,9.838267723,30.2789,27.5975,P12-JUL,2
87,P8-2019-JUL,P8,2019,JUL,11.10105,11.8431,6.581755058,7.15381991,30.9757,30.6062,P8-JUL,2
59,P4-2019-SEP,P4,2019,SEP,11.54355,15.90525,3.867053077,12.72611651,30.34025,25.45105,P4-SEP,2
22,P22-2020-SEP,P22,2020,SEP,8.1177,11.41665,3.55901421,6.377958996,33.03223333,30.0924,P22-SEP,2
60,P4-2020-SEP,P4,2020,SEP,11.0955,14.54333333,3.705775601,13.4877592,30.02645,26.66636667,P4-SEP,2
88,P8-2020-SEP,P8,2020,SEP,10.80355,14.05605,5.496987278,7.902361332,31.4061,29.9307,P8-SEP,2
23,P22-2021-APR,P22,2021,APR,7.4577,8.64785,4.312918365,8.401481772,33.12246667,30.32195,P22-APR,2
36,P28-2021-APR,P28,2021,APR,8.5209,9.5704,8.465185743,13.39202591,29.77662,28.90575,P28-APR,2
61,P4-2021-APR,P4,2021,APR,8.54325,11.08075,6.353274961,15.30540443,29.4492,25.85515,P4-APR,2
73,P402-2021-APR,P402,2021,APR,10.0152,14.7596,3.12,10.025,29.83232,24.93895,P402-APR,2
10,P12-2021-JUL,P12,2021,JUL,9.663533333,18.60945,1.874462933,10.72532357,30.10236667,26.6684,P12-JUL,2
24,P22-2021-JUL,P22,2021,JUL,8.599366667,11.27915,4.029089956,7.426595328,32.5132,30.5949,P22-JUL,2
47,P38-2021-JUL,P38,2021,JUL,12.11676667,15.68325,7.229655689,11.82576411,29.55443333,29.38305,P38-JUL,2
74,P402-2021-JUL,P402,2021,JUL,10.7479,19.89395,2.438510823,10.44775998,29.76954,26.3062,P402-JUL,2
89,P8-2021-JUL,P8,2021,JUL,11.226325,14.56515,6.407343605,11.27718726,30.48355,29.4467,P8-JUL,2
11,P12-2021-SEP,P12,2021,SEP,10.33143333,16.33925,2.909849215,8.765150675,30.2463,26.36305,P12-SEP,2
25,P22-2021-SEP,P22,2021,SEP,8.3126,11.0534,2.93603822,5.726402465,33.15346667,31.06845,P22-SEP,2
37,P28-2021-SEP,P28,2021,SEP,12.23412,13.52915,5.287988693,6.59650635,30.76086,30.2046,P28-SEP,2
48,P38-2021-SEP,P38,2021,SEP,13.44693333,15.04265,5.746144919,9.854665978,30.21193333,29.80165,P38-SEP,2
75,P402-2021-SEP,P402,2021,SEP,9.99686,17.4019,0.763261324,8.649132621,29.96724,26.9174,P402-SEP,2
90,P8-2021-SEP,P8,2021,SEP,11.500375,12.868,5.246243947,6.16185445,31.213275,30.37755,P8-SEP,2
12,P12-2022-APR,P12,2022,APR,10.1793,10.62945,3.824116568,9.838391132,30.18833333,28.47065,P12-APR,2
49,P38-2022-APR,P38,2022,APR,8.656033333,10.49625,7.835173268,13.71741225,28.93443333,28.324,P38-APR,2
62,P4-2022-APR,P4,2022,APR,8.31685,11.30725,6.050484572,12.65195822,29.4269,23.0734,P4-APR,2
76,P402-2022-APR,P402,2022,APR,10.29864,12.30585,3.053071931,11.5364017,29.93306,25.3332,P402-APR,2
91,P8-2022-APR,P8,2022,APR,8.456,9.9978,7.750138747,10.66149898,30.4188,28.5826,P8-APR,2
13,P12-2022-JUL,P12,2022,JUL,9.74455,13.6597,2.251707685,9.801218827,29.987075,26.41105,P12-JUL,2
26,P22-2022-JUL,P22,2022,JUL,8.166,11.1041,4.436095811,7.407283637,32.388,29.05125,P22-JUL,2
38,P28-2022-JUL,P28,2022,JUL,9.76592,14.66675,6.587685797,12.92942273,29.72786,25.35915,P28-JUL,2
63,P4-2022-JUL,P4,2022,JUL,9.03855,12.8618,5.19800024,15.082284,29.17375,24.17025,P4-JUL,2
77,P402-2022-JUL,P402,2022,JUL,10.1828,17.03935,2.468223569,9.573796928,29.51214,22.62125,P402-JUL,2
