x	MP_1804_P22_v_BS20	MP_1804_P4_v_A_KAsH	MP_1804_P4_v_BS20	MP_1804_P8_v_BS20	MP_1804_P28_v_BS20	MP_1804_P402_v_BS20	MP_1804_P12_v_BS20	MP_1809_P4_v_BSsF	MP_1809_P4_v_BS20	MP_1809_P8_o_BSsF	MP_1809_P8_v_BS20	MP_1809_P28_v_BS20	MP_1809_P38_o_BSsF	MP_1809_P38_v_BSsF	MP_1809_P38_v_BS20	MP_1809_P402_v_BSsF	MP_1809_P402_v_BS20	MP_1809_P12_v_BSsF	MP_1809_P12_v_BS20
ASV_853	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV_856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV_858	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_859	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV_863	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_864	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_868	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_877	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_880	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_881	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_882	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_883	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_887	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0
ASV_889	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_896	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_900	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_908	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_91	0	572	1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_910	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV_911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_94	1994	0	0	83	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_95	0	0	0	0	0	1217	649	208	301	0	0	0	0	0	0	0	0	0	0
