ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10149	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Euchaetidae	Paraeuchaeta	Paraeuchaeta elongata
ASV_1015	Eukaryota	Annelida	Polychaeta	Capitellidae__o	NA	NA	NA
ASV_10150	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Euchaetidae	Paraeuchaeta	Paraeuchaeta elongata
ASV_10151	Eukaryota	Mollusca	Gastropoda	Planorbidae__o	NA	NA	NA
ASV_10152	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10153	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10154	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10155	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia pacifica
ASV_10156	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae	Crepipatella	Crepipatella lingulata
ASV_10157	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10158	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10159	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	NA
ASV_1016	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Spirontocaris	NA
ASV_10160	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Naticidae	NA	NA
ASV_10161	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	NA	NA	NA
ASV_10162	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10163	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10164	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	NA	NA
ASV_10165	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	NA	NA
ASV_10166	Eukaryota	Annelida	Polychaeta	Phyllodocida	Nereididae	Hediste	NA
ASV_10167	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	NA	NA	NA
ASV_10168	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	NA	NA
ASV_10169	Eukaryota	Mollusca	Gastropoda	Limapontiidae__o	Limapontiidae	Placida	Placida dendritica
